realDep,routes,match,nTrans,wk,iv,wt,nwk,tiv,id,ntiv,aux,ov,tt,cost,tway,summer,realtime,HHcomp,oppo,male,female,white,visitor,engflu,age,income,disability,nonbinary,duration,dayofweek_Friday,dayofweek_Saturday,dayofweek_Sunday,dayofweek_Weekday,plan_couldhave,plan_known,plan_nonweb,plan_web,access_bike,access_drive,access_walk,egress_bike,egress_drive,egress_walk,worktype_fullO,worktype_fullT,worktype_partialT,worktype_unemp,worktype_unfixed,stu_K12,stu_full,stu_no,stu_part,choicerider_choicerider,choicerider_dependent,choicerider_potentially,purpose_HBEd,purpose_HBO,purpose_HBSh,purpose_HBSo,purpose_HBW,purpose_NHB
408.0,17_61,0.0,1.0,17.0,28.0,8.0,0.0,0.0,78,28.0,17.0,25.0,53.0,56.0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,70.0,70.0,0.0,1,7.883333333333334,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
427.0,902_121,1.0,1.0,26.1,26.0,6.9,0.0,6.0,78,20.0,26.1,33.0,59.0,62.0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,70.0,70.0,0.0,1,7.883333333333334,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
416.0,122,1.0,0.0,8.0,5.0,5.0,0.0,0.0,82,5.0,8.0,13.0,18.0,18.0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,21.0,7.5,0.0,0,5.066666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
423.0,902,0.0,0.0,9.0,5.0,6.0,0.0,5.0,82,0.0,9.0,15.0,20.0,20.0,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,21.0,7.5,0.0,0,5.066666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
425.0,122,1.0,0.0,8.0,5.0,5.0,0.0,0.0,84,5.0,8.0,13.0,18.0,18.0,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,21.0,0.0,0.0,0,3.916666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
425.0,902,0.0,0.0,6.0,5.0,6.0,0.0,5.0,84,0.0,6.0,12.0,17.0,17.0,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,21.0,0.0,0.0,0,3.916666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
386.0,11_3_121,1.0,2.0,20.8,31.0,13.2,0.0,0.0,89,31.0,20.8,34.0,65.0,71.0,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,30.0,125.0,1.0,0,12.066666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
368.0,11_902_87,0.0,2.0,7.38,32.0,10.62,0.0,16.0,89,16.0,7.38,18.0,50.0,56.0,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,30.0,125.0,1.0,0,12.066666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
485.0,122,1.0,0.0,10.0,5.0,5.0,0.0,0.0,95,5.0,10.0,15.0,20.0,20.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,21.0,0.0,0.0,0,3.737224927874359,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
483.0,902,0.0,0.0,11.0,5.0,6.0,0.0,5.0,95,0.0,11.0,17.0,22.0,22.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,21.0,0.0,0.0,0,3.737224927874359,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
431.0,121,1.0,0.0,15.0,5.0,5.0,0.0,0.0,96,5.0,15.0,20.0,25.0,25.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,21.0,0.0,0.0,1,2.032344904373839,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
420.0,902,0.0,0.0,12.0,5.0,6.0,0.0,5.0,96,0.0,12.0,18.0,23.0,23.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,21.0,0.0,0.0,1,2.032344904373839,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
489.0,121,1.0,0.0,5.0,20.0,2.0,4.0,0.0,98,20.0,9.0,11.0,31.0,31.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,21.0,7.5,0.0,0,2.8499999999999996,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
